"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2,R3";"0603-NO";2;"10K";;;
2;"PLABEL0";"PLABEL0";1;"";;;
3;"LED2";"CHIPLED_0603_NOOUTLINE";1;"GREEN";;;
4;"C2,C1";"0805-NO";2;"10uF";;;
5;"PLABEL5";"PLABEL5";1;"";;;
6;"LED1";"CHIPLED_0603_NOOUTLINE";1;"RED";;;
7;"X3";"JSTPH2_BATT";1;"CON_JST_PH_2PIN_MT_BATT";;;
8;"FID1";"FIDUCIAL_1MM";1;"FIDUCIAL_1MM";;;
9;"PLABEL1";"PLABEL1";1;"";;;
10;"PLABEL8";"PLABEL8";1;"";;;
11;"PLABEL6";"PLABEL6";1;"";;;
12;"R1,R4";"0603-NO";2;"2K";;;
13;"PLABEL7";"PLABEL7";1;"";;;
14;"U1";"SOT23-5";1;"MCP73831T-2ACI/OT";;;
15;"PLABEL2";"PLABEL2";1;"";;;
16;"X1";"USBA_PCB";1;"PCBUSB";;;
17;"PLABEL4";"PLABEL4";1;"";;;
18;"SW1";"EG1390";1;"DPDT Switch";;;
19;"PLABEL3";"PLABEL3";1;"";;;
20;"PLABEL11";"PLABEL11";1;"";;;
21;"PLABEL9";"PLABEL9";1;"";;;
22;"PLABEL10";"PLABEL10";1;"";;;
23;"U$9";"PCBFEAT-REV-040";1;"";;;
24;"U$8";"ADAFRUIT_TEXT_20MM";1;"";;;
