"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C2";"CP_Radial_D7.5mm_P2.50mm";1;"33u";;;
2;"C1";"C_0805_HandSoldering";1;"0.1u";;;
3;"LS1";"Buzzer_12x9.5RM7.6";1;"Speaker";;;
4;"P2";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"CONN_01X06";;;
5;"Q1";"MOSFET-SOT-23";1;"MOSFET_P_CH";;;
6;"P1";"MICRO-B_USB-INVERTED";1;"USB_OTG";;;
7;"R1";"R_0805_HandSoldering";1;"2.2k";;;
8;"R2,R3";"R_0805_HandSoldering";2;"47";;;
9;"IC1";"SOIC127P798X216-8N";1;"ATTINY85-S";;;
10;"D1,D2";"D_SOT-23_ANK";2;"3.6";;;
11;"R4";"R_0805_HandSoldering";1;"R_Small";;;
12;"D3";"LED_0805";1;"LED";;;
13;"SW1";"SMD_RED_TACTILE_SWITCH";1;"TACT-SWITCH";;;
